make,model,make_year,fuel_type,transmission,kms_driven,engine_size,body_type,price,key
Ford,Ranger,2019,Diesel,Automatic,"44,000 Km",2.0,Pickup-trucks,₱1.059 Million,Ford Ranger
Toyota,Hiace,2020,Diesel,Manual,"75,000 Km",2.755,Van,₱1.065 Million,Toyota Hiace
Toyota,Fortuner,2018,Diesel,Manual,"35,000 Km",2.393,Suv,₱1.065 Million,Toyota Fortuner
Ford,Ranger,2020,Diesel,Automatic,"18,400 Km",2.0,Pickup-trucks,₱1.068 Million,Ford Ranger
Mitsubishi,Montero,2017,Diesel,Automatic,"77,000 Km",2.442,Suv,₱1.068 Million,Mitsubishi Montero
Ford,Territory,2021,Gasoline,Cvt,"20,000 Km",1.49,Crossover,₱1.07 Million,Ford Territory
Ford,Everest,2017,Diesel,Automatic,"30,000 Km",2.2,Suv,₱1.07 Million,Ford Everest
Nissan,NP300,2019,Diesel,Automatic,"47,000 Km",2.5,Pickup-trucks,₱1.07 Million,Nissan NP300
Honda,CR-V,2018,Diesel,Automatic,"65,000 Km",1.6,Suv,₱1.078 Million,Honda CR-V
Mitsubishi,Montero,2018,Diesel,Automatic,"18,500 Km",2.442,Suv,₱1.08 Million,Mitsubishi Montero
Toyota,Fortuner,2017,Diesel,Automatic,1 Km,2.393,Suv,₱1.08 Million,Toyota Fortuner
Honda,Civic,2016,Gasoline,Cvt,"10,000 Km",1.498,Sedan,₱1.08 Million,Honda Civic
Toyota,Hilux,2018,Diesel,Automatic,"25,000 Km",2.393,Pickup-trucks,₱1.08 Million,Toyota Hilux
Ford,Territory,2021,Gasoline,Cvt,"32,000 Km",1.49,Crossover,₱1.08 Million,Ford Territory
Toyota,Hiace,2018,Diesel,Automatic,"40,000 Km",2.982,Van,₱1.08 Million,Toyota Hiace
Mitsubishi,Montero,2017,Diesel,Automatic,"64,000 Km",2.477,Suv,₱1.08 Million,Mitsubishi Montero
Mitsubishi,Montero,2019,Diesel,Automatic,"12,932 Km",2.442,Suv,₱1.08 Million,Mitsubishi Montero
Toyota,Innova,2022,Diesel,Automatic,"10,000 Km",2.8,Mpv,₱1.08 Million,Toyota Innova
Subaru,Forester,2019,Gasoline,Cvt,"35,000 Km",1.995,Suv,₱1.08 Million,Subaru Forester
Nissan,Terra,2019,Diesel,Automatic,"105,000 Km",2.5,Suv,₱1.08 Million,Nissan Terra
Mitsubishi,Montero,2016,Diesel,Automatic,"29,000 Km",2.442,Suv,₱1.085 Million,Mitsubishi Montero
Hyundai,Grand,2016,Diesel,Automatic,1 Km,2.497,Minivans,₱1.088 Million,Hyundai Grand
Jeep,Grand,2012,Gasoline,Automatic,"43,000 Km",5.7,Suv,₱1.088 Million,Jeep Grand
Toyota,Corolla,2021,Gasoline,Cvt,"12,000 Km",1.598,Sedan,₱1.088 Million,Toyota Corolla
Ford,Ranger,2018,Diesel,Automatic,"28,000 Km",2.2,Pickup-trucks,₱1.088 Million,Ford Ranger
Mitsubishi,Montero,2018,Diesel,Automatic,"20,000 Km",2.442,Suv,₱1.088 Million,Mitsubishi Montero
Nissan,NV350,2018,Diesel,Manual,"31,000 Km",2.488,Minivans,₱1.088 Million,Nissan NV350
Toyota,Hiace,2022,Diesel,Manual,"4,100 Km",3.0,Van,₱1.09 Million,Toyota Hiace
Toyota,Hiace,2021,Diesel,Manual,"12,000 Km",3.0,Van,₱1.09 Million,Toyota Hiace
Ford,Territory,2022,Gasoline,Automatic,"24,000 Km",1.499,Suv,₱1.09 Million,Ford Territory
Toyota,Hilux,2020,Diesel,Automatic,"51,000 Km",2.393,Pickup-trucks,₱1.095 Million,Toyota Hilux
Ford,Explorer,2016,Gasoline,Automatic,"18,000 Km",2.3,Suv,₱1.095 Million,Ford Explorer
Mitsubishi,Montero,2016,Diesel,Automatic,"28,000 Km",2.4,Suv,₱1.098 Million,Mitsubishi Montero
Subaru,Impreza,2010,Gasoline,Manual,"60,000 Km",2.0,Sedan,₱1.098 Million,Subaru Impreza
Nissan,NP300,2021,Diesel,Manual,"6,000 Km",2.5,Pickup-trucks,₱1.098 Million,Nissan NP300
Porsche,Cayenne,2004,Gasoline,Automatic,"70,000 Km",3.998,Suv,₱1.098 Million,Porsche Cayenne
