key,make,model,fuel_type,transmission,body_type,make_year,ext_make_year,kms_driven,engine_size,resale_price,srp,no_sc_mmnl
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup,2019,2024,26000.0,2.0,1460000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Manual,Pickup-trucks,2020,2024,30000.0,2.0,838000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2018,2024,45000.0,2.2,850000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Manual,Pickup-trucks,2013,2024,95000.0,2.0,590000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2016,2024,95000.0,2.0,710000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2014,2024,59000.0,2.2,725000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Manual,Pickup-trucks,2020,2024,50000.0,2.2,749000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2015,2024,95000.0,2.0,750000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2015,2024,85000.0,2.0,780000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Manual,Pickup-trucks,2020,2024,30000.0,2.0,788000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Manual,Pickup-trucks,2020,2024,30000.0,2.0,838000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2018,2024,45000.0,2.2,850000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2018,2024,50000.0,2.2,875000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2016,2024,100000.0,2.0,875000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Manual,Pickup-trucks,2020,2024,9000.0,2.2,880000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2020,2024,78000.0,2.2,885000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2019,2024,14000.0,2.2,890000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Manual,Pickup-trucks,2020,2024,27000.0,2.0,895000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Manual,Pickup-trucks,2021,2024,18415.0,2.2,895000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2019,2024,33000.0,2.2,898000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Manual,Pickup-trucks,2018,2024,60000.0,2.2,900000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2018,2024,45000.0,3.2,900000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2018,2024,45000.0,2.2,930000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2020,2024,18000.0,2.2,958000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2018,2024,19000.0,3.2,980000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2020,2024,24000.0,2.2,998000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2020,2024,10000.0,2.2,998000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2021,2024,12200.0,2.0,1000000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2022,2024,29628.0,2.0,1030000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Manual,Pickup-trucks,2018,2024,12000.0,2.2,1048000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2017,2024,39000.0,2.2,1058000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2019,2024,44000.0,2.0,1059000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2020,2024,18400.0,2.0,1068000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2018,2024,28000.0,2.2,1088000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Manual,Pickup-trucks,2020,2024,45000.0,2.0,1100000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2020,2024,4170.0,2.0,1150000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2020,2024,27120.0,2.0,1158000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2020,2024,27000.0,2.0,1198000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2022,2024,2000.0,2.2,1218000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2019,2024,60000.0,2.0,1250000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2020,2024,35000.0,2.0,1400000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2019,2024,20000.0,2.0,1498000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2023,2024,15000.0,2.0,1500000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2019,2024,43000.0,2.0,1500000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2023,2024,8000.0,2.0,1518000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2019,2024,20000.0,2.0,1600000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2020,2024,16000.0,2.0,1650000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2021,2024,9000.0,2.0,1700000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2019,2024,19000.0,2.0,1748000.0,1249000.0,2
Ford Ranger,Ford,Ranger,Diesel,Automatic,Pickup-trucks,2019,2024,14000.0,2.0,1778000.0,1249000.0,2
