make,model,make_year,fuel_type,transmission,kms_driven,engine_size,body_type,resale_price,key
Nissan,Urvan,2018,Diesel,Manual,110000.0,2.66,Van,880000.0,Nissan Urvan
Ford,Ranger,2020,Diesel,Automatic,78000.0,2.2,Pickup-trucks,885000.0,Ford Ranger
Audi,A1,2015,Gasoline,Automatic,15000.0,1.4,Hatchback,888000.0,Audi A1
Nissan,NP300,2019,Diesel,Automatic,1.0,2.5,Pickup-trucks,888000.0,Nissan NP300
Ford,Everest,2016,Diesel,Automatic,78000.0,2.2,Suv,888000.0,Ford Everest
Toyota,Fortuner,2015,Diesel,Automatic,68000.0,2.49,Suv,888000.0,Toyota Fortuner
Toyota,Innova,2019,Diesel,Manual,1.0,2.76,Mpv,888000.0,Toyota Innova
Nissan,NV350,2019,Diesel,Manual,31000.0,2.49,Minivans,888000.0,Nissan NV350
Toyota,Hiace,2018,Diesel,Manual,1.0,2.98,Van,888000.0,Toyota Hiace
Chevrolet,Trailblazer,2014,Diesel,Automatic,2.0,2.78,Suv,888000.0,Chevrolet Trailblazer
Isuzu,Traviz,2023,Diesel,Manual,1000.0,2.5,Van,888888.0,Isuzu Traviz
Toyota,Fortuner,2012,Diesel,Automatic,85000.0,2.39,Suv,888888.0,Toyota Fortuner
Ford,Explorer,2014,Gasoline,Automatic,26000.0,2.0,Suv,890000.0,Ford Explorer
Ford,Everest,2017,Diesel,Manual,60000.0,2.2,Suv,890000.0,Ford Everest
Honda,City,2021,Gasoline,Cvt,6000.0,1.5,Sedan,890000.0,Honda City
Ford,Ranger,2019,Diesel,Automatic,14000.0,2.2,Pickup-trucks,890000.0,Ford Ranger
Ford,Everest,2018,Diesel,Automatic,35000.0,2.0,Suv,890000.0,Ford Everest
Isuzu,mu-X,2017,Diesel,Automatic,76000.0,1.9,Suv,890000.0,Isuzu mu-X
Toyota,Corolla,2021,Gasoline,Cvt,26000.0,1.6,Sedan,890000.0,Toyota Corolla
Ford,Ranger,2020,Diesel,Manual,27000.0,2.0,Pickup-trucks,895000.0,Ford Ranger
Toyota,Rush,2020,Gasoline,Automatic,900.0,1.5,Suv,895000.0,Toyota Rush
Ford,Ranger,2021,Diesel,Manual,18415.0,2.2,Pickup-trucks,895000.0,Ford Ranger
Toyota,Hilux,2016,Diesel,Manual,53000.0,2.39,Pickup-trucks,895000.0,Toyota Hilux
Isuzu,mu-X,2017,Diesel,Automatic,59000.0,3.0,Suv,895000.0,Isuzu mu-X
Nissan,NP300,2018,Diesel,Automatic,43000.0,2.49,Pickup-trucks,895000.0,Nissan NP300
