,model,price,registration_year,make_year,fuel_type,body_type,kms_driven,ownership,transmission,city,seats,engine_displacement
26,2015 Honda Jazz 1.5L V AT Detail,"₱565,000 ",,2015,Gasoline,Hatchback,"34,000 Km",First Owner,Automatic,Mandaue City,,1498 CC
27,2020 Nissan Sylphy 1.6L MT Detail,"₱565,000 ",,2020,Gasoline,Sedan,"13,000 Km",First Owner,Manual,"Talisay City, Cebu",5 seat,1598 CC
28,2016 Honda Mobilio 1.5 RS Navi CVT Detail,"₱565,000 ",2016.0,2016,Gasoline,Mpv,"72,000 Km",First Owner,Cvt,Las Piñas,7 seat,1497 CC
29,2017 Mitsubishi L300 2.5L FB Exceed MT Detail,"₱568,000 ",,2017,Diesel,Mpv,"49,000 Km",First Owner,Manual,Cainta,,2488 CC
30,2014 Ford Everest 2.5L Limited AT Detail,"₱568,000 ",,2014,Diesel,Suv,,First Owner,Automatic,Cavite City,,2498 CC
31,2020 Toyota Vios 1.3 XLE MT Detail,"₱568,000 ",2020.0,2020,Gasoline,Sedan,"13,000 Km",First Owner,Manual,Imus,5 seat,1329 CC
32,2019 Toyota Corolla Altis 1.6 V AT Detail,"₱569,000 ",2019.0,2019,Gasoline,Sedan,"39,200 Km",First Owner,Automatic,Antipolo,5 seat,1598 CC
33,2015 Mitsubishi L300 2.5L FB Exceed MT Detail,"₱570,000 ",2016.0,2015,Diesel,Mpv,"180,000 Km",Second Owner,Manual,Manila,,2488 CC
34,2006 Suzuki Jimny GLX 2 Tone 4AT Detail,"₱570,000 ",2006.0,2006,Gasoline,Suv,"230,000 Km",Second Owner,Automatic,San Pedro,4 seat,1462 CC
35,2015 Mitsubishi ASX 2.0 GSR AT Detail,"₱570,000 ",,2015,Gasoline,Suv,"50,000 Km",First Owner,Cvt,Las Piñas,5 seat,1998 CC
36,2016 Mitsubishi L300 2.5L FB Exceed MT Detail,"₱570,000 ",,2016,Diesel,Mpv,"58,000 Km",First Owner,Manual,Quezon City,,2488 CC
37,2015 Honda Mobilio 1.5 V CVT Detail,"₱570,000 ",,2015,Gasoline,Mpv,"93,000 Km",First Owner,Cvt,Makati City,7 seat,1497 CC
38,2019 MG ZS Alpha AT Detail,"₱570,000 ",2023.0,2019,Gasoline,Crossover,"25,000 Km",Second Owner,Automatic,Quezon City,5 seat,1499 CC
39,2018 Mazda 3 Hatchback 1.5L Sportback Elite Detail,"₱570,000 ",2023.0,2018,Gasoline,Hatchback,"50,000 Km",First Owner,Automatic,Batangas,5 seat,1496 CC
40,2020 Toyota Vios 1.3 XLE CVT Detail,"₱570,000 ",,2020,Gasoline,Sedan,"24,000 Km",First Owner,Cvt,Makati City,5 seat,1329 CC
41,2014 Hyundai Grand Starex 2.5L Gold CRDi AT Detail,"₱570,000 ",2014.0,2014,Diesel,Van,"95,000 Km",Second Owner,Automatic,Muntinlupa,10 seat,2497 CC
42,2011 Hyundai Grand Starex 2.5L Gold CRDi AT Detail,"₱570,000 ",2023.0,2011,Diesel,Van,"90,000 Km",First Owner,Automatic,Bulacan,10 seat,2497 CC
43,2018 Ford Ecosport 1.5 L Trend AT Detail,"₱575,000 ",2022.0,2018,Gasoline,Crossover,"60,000 Km",First Owner,Automatic,Angeles City,5 seat,1498 CC
44,2022 Toyota Wigo 1.0 G AT Detail,"₱575,000 ",2022.0,2022,Gasoline,Hatchback,"3,000 Km",First Owner,Automatic,Mandaue City,5 seat,998 CC
45,2013 Mitsubishi Montero Sport 2.5L GT-V SE AT Detail,"₱575,000 ",2023.0,2013,Diesel,Suv,"5,000 Km",Second Owner,Automatic,Cavite City,,
46,2017 Toyota Avanza 1.3 E CVT Detail,"₱575,000 ",2017.0,2017,Gasoline,Mpv,"60,000 Km",First Owner,Cvt,Manila,7 seat,1329 CC
47,2017 Honda Mobilio 1.5 RS Navi CVT Detail,"₱575,000 ",2018.0,2017,Gasoline,Mpv,"70,000 Km",First Owner,Cvt,General Trias,7 seat,1497 CC
48,2019 Suzuki Vitara GL Plus AT Detail,"₱575,000 ",2019.0,2019,Gasoline,Crossover,"25,000 Km",First Owner,Automatic,Quezon City,5 seat,1586 CC
49,2019 Hyundai Accent 1.6 GLS AT Detail,"₱578,000 ",2020.0,2019,Gasoline,Sedan,"6,000 Km",First Owner,Automatic,Quezon City,,
50,2017 Mitsubishi Adventure 2.5L GLS Sport SE MT Detail,"₱578,000 ",2023.0,2017,Diesel,Mpv,"63,000 Km",First Owner,Manual,Quezon City,,
51,2019 Toyota Avanza 1.5 G MT Detail,"₱578,000 ",2019.0,2019,Gasoline,Mpv,"72,000 Km",First Owner,Manual,Quezon City,7 seat,1496 CC
52,2019 Toyota Vios 1.3 E CVT Detail,"₱578,000 ",,2019,Gasoline,Sedan,"17,000 Km",First Owner,Cvt,Quezon City,5 seat,1329 CC
53,2009 Mitsubishi Montero Sport 2.5L GLS-V SE AT Detail,"₱580,000 ",2009.0,2009,Diesel,Suv,1 Km,First Owner,Automatic,Mandaue City,,
54,2016 Toyota Corolla Altis 1.6 G MT Detail,"₱580,000 ",2016.0,2016,Gasoline,Sedan,"57,000 Km",First Owner,Manual,Marikina City,5 seat,1598 CC
55,2008 Chrysler 300C 3.5L AT Detail,"₱580,000 ",,2008,Gasoline,Luxury-vehicles,"28,000 Km",First Owner,Automatic,Las Piñas,,
56,2012 Subaru Legacy 2.0L R Wagon Detail,"₱580,000 ",2012.0,2012,Gasoline,Station-wagon,1 Km,First Owner,Automatic,Mandaue City,,
57,2014 Mitsubishi Montero Sport 2.5 GLX 4x2 MT Detail,"₱580,000 ",2014.0,2014,Diesel,Suv,"69,500 Km",First Owner,Manual,Paranaque,7 seat,2477 CC
58,2015 Nissan X–Trail 2.0L 4x2 Detail,"₱580,000 ",,2015,Gasoline,Crossover,"60,000 Km",First Owner,Cvt,Las Piñas,7 seat,1997 CC
