,model,price,registration_year,make_year,fuel_type,body_type,kms_driven,ownership,transmission,city,seats,engine_displacement
68,2019 Toyota Fortuner 2.4 G Diesel 4x2 AT Detail,₱1.298 Million,,2019,Diesel,Suv,"35,000 Km",First Owner,Automatic,Pasig,7 seat,2393 CC
69,2017 Honda CR-V S-Diesel 9AT Honda Sensing Detail,₱1.3 Million,2017,2017,Diesel,Suv,"40,000 Km",First Owner,Automatic,San Mariano,7 seat,1597 CC
70,2015 Toyota Fortuner 2.4 V Diesel 4x2 AT Detail,₱1.3 Million,2015,2015,Diesel,Suv,"15,400 Km",First Owner,Automatic,Pasig,7 seat,2393 CC
71,2017 Toyota Fortuner 2.4L G AT Detail,₱1.3 Million,,2017,Diesel,Suv,"49,000 Km",First Owner,Automatic,Taal,7 seat,2393 CC
72,2017 Honda CR-V 2.0 S CVT Detail,₱1.3 Million,2017,2017,Gasoline,Suv,"11,400 Km",Second Owner,Cvt,Paranaque,5 seat,1997 CC
0,2017 Hyundai Grand Starex 2.5 CVX Detail,₱1.32 Million,,2017,Diesel,Van,"21,000 Km",First Owner,Automatic,Valenzuela,,
1,2020 Toyota Fortuner 2.4 G Diesel 4x2 AT Detail,₱1.32 Million,,2020,Diesel,Suv,"28,000 Km",First Owner,Automatic,Caloocan City,7 seat,2393 CC
2,2016 Toyota Fortuner 2.4 V Diesel 4x2 AT Detail,₱1.325 Million,2023,2016,Diesel,Suv,"30,000 Km",First Owner,Automatic,Quezon City,7 seat,2393 CC
3,2018 Ford Everest Titanium 2.2L 4x2 AT with Premium Package (Optional) Detail,₱1.328 Million,,2018,Diesel,Suv,,First Owner,Automatic,Paranaque,7 seat,2199 CC
4,2018 Toyota Hiace 3.0 GL Grandia AT Detail,₱1.33 Million,,2018,Diesel,Van,1 Km,First Owner,Automatic,Pasig,11 seat,2982 CC
5,2020 Toyota Fortuner 2.4 G Diesel 4x2 AT Detail,₱1.332 Million,2020,2020,Diesel,Suv,"21,000 Km",First Owner,Automatic,Cebu City,7 seat,2393 CC
6,2014 BMW 5 Series Sedan 520d Detail,₱1.338 Million,2014,2014,Diesel,Sedan,"35,000 Km",First Owner,Automatic,Quezon City,5 seat,1995 CC
7,2019 Nissan Terra 2.5 4x4 VL AT Detail,₱1.34 Million,2019,2019,Diesel,Suv,"46,000 Km",First Owner,Automatic,Quezon City,7 seat,2488 CC
8,2021 Toyota Hilux Conquest 2.4 4x2 A/T Detail,₱1.345 Million,2021,2021,Diesel,Pickup-trucks,"22,000 Km",First Owner,Automatic,Quezon City,5 seat,2393 CC
9,2017 Ford Explorer 2.3L Limited EcoBoost Detail,₱1.345 Million,2018,2017,Gasoline,Suv,"26,000 Km",First Owner,Automatic,Quezon City,7 seat,2296 CC
10,2014 BMW 3 Series Sedan 318d Luxury Detail,₱1.35 Million,2014,2014,Diesel,Sedan,"45,000 Km",Second Owner,Automatic,Pasig,5 seat,1995 CC
11,2018 Kia Carnival 2.2 EX 7-Seater AT Detail,₱1.35 Million,2018,2018,Diesel,Mpv,"120,000 Km",First Owner,Automatic,Manila,7 seat,2151 CC
12,2017 Toyota Fortuner 2.4 V AT Detail,₱1.35 Million,,2017,Diesel,Suv,"57,000 Km",First Owner,Automatic,Quezon City,7 seat,2393 CC
13,2019 Nissan Terra 2.5 4x2 VL AT Detail,₱1.35 Million,,2019,Diesel,Suv,"27,000 Km",First Owner,Automatic,Pasig,7 seat,2488 CC
14,2020 Toyota Fortuner 2.4 G Diesel 4x2 AT Detail,₱1.35 Million,,2020,Diesel,Suv,"29,000 Km",First Owner,Automatic,Makati City,7 seat,2393 CC
15,2020 Ford Everest 2.0L Bi-Turbo Titanium Plus 4x4 AT Detail,₱1.35 Million,2023,2020,Diesel,Suv,"60,000 Km",First Owner,Automatic,san-fernando,7 seat,1996 CC
16,2022 Toyota Hilux 2.4L G 2WD AT Detail,₱1.35 Million,2022,2022,Diesel,Pickup-trucks,"30,000 Km",First Owner,Automatic,Manila,5 seat,2498 CC
17,2021 Toyota Hilux Conquest 2.4 4x2 A/T Detail,₱1.355 Million,2021,2021,Diesel,Pickup-trucks,"18,000 Km",First Owner,Automatic,"Talisay City, Cebu",5 seat,2393 CC
18,2019 Ford Everest 2.0L Turbo Titanium+ 4x2 AT Detail,₱1.358 Million,,2019,Diesel,Suv,"23,000 Km",First Owner,Automatic,Paranaque,7 seat,1996 CC
19,2020 Mitsubishi Montero Sport GLS 2WD AT Detail,₱1.358 Million,,2020,Diesel,Suv,,First Owner,Automatic,Cavite City,7 seat,2442 CC
20,2018 Ford Explorer 2.3L Limited EcoBoost Detail,₱1.358 Million,,2018,Gasoline,Suv,"53,000 Km",First Owner,Automatic,Cavite City,7 seat,2296 CC
21,2019 Toyota Fortuner 2.4 G Diesel 4x2 AT Detail,₱1.365 Million,2019,2019,Diesel,Suv,"23,000 Km",First Owner,Automatic,Quezon City,7 seat,2393 CC
22,2019 Toyota Hiace 3.0 GL Grandia AT Detail,₱1.365 Million,2019,2019,Diesel,Van,"55,000 Km",First Owner,Automatic,Quezon City,,
23,2017 Toyota 86 2.0 MT Detail,₱1.368 Million,,2017,Gasoline,Coupe,"36,000 Km",First Owner,Manual,Quezon City,4 seat,1998 CC
24,2018 Toyota Fortuner 2.4 V AT Detail,₱1.38 Million,,2018,Diesel,Suv,"30,000 Km",First Owner,Automatic,Las Piñas,7 seat,2393 CC
25,2021 Nissan NV350 Urvan Standard 15-Seater Detail,₱1.38 Million,,2021,Diesel,Minivans,,First Owner,Manual,Quezon City,15 seat,2488 CC
26,2019 Nissan Terra 2.5 4x2 VE AT Detail,₱1.388 Million,,2019,Diesel,Suv,1 Km,First Owner,Automatic,Quezon City,7 seat,2488 CC
27,2010 Jeep Commander 3.0L AT Detail,₱1.388 Million,2011,2010,Diesel,Suv,"40,000 Km",Second Owner,Automatic,Quezon City,,
28,2019 Subaru WRX 2.0 CVT Detail,₱1.388 Million,2019,2019,Gasoline,Sedan,"30,000 Km",First Owner,Cvt,Bacoor,5 seat,1998 CC
29,2016 Toyota Hiace 3.0 Super Grandia AT Detail,₱1.39 Million,2016,2016,Diesel,Van,"38,000 Km",First Owner,Automatic,Pasig,11 seat,2982 CC
30,2018 Kia Grand Carnival 2.2 EX AT (7-Seater) Detail,₱1.39 Million,,2018,Diesel,Mpv,"60,000 Km",First Owner,Automatic,Las Piñas,7 seat,2199 CC
31,2019 Nissan NV350 Urvan Premium A/T 15-Seater Detail,₱1.39 Million,,2019,Diesel,Minivans,,First Owner,Automatic,Quezon City,15 seat,2488 CC
32,1995 BMW M3 4.0L AT Detail,₱1.395 Million,1995,1995,Gasoline,Coupe,"17,000 Km",Third Owner,Automatic,Quezon City,,
33,2010 Infiniti QX80 5.6L Detail,₱1.398 Million,2010,2010,Gasoline,Suv,"80,000 Km",First Owner,Automatic,Quezon City,,
34,2011 Mercedes-Benz GLK Class GLK 220 CDI 4MATIC BlueEFFICIENCY Detail,₱1.398 Million,,2011,Diesel,Suv,"69,000 Km",First Owner,Automatic,Quezon City,7 seat,2143 CC
35,2009 Porsche Cayenne Turbo Detail,₱1.398 Million,,2009,Gasoline,Suv,"35,000 Km",First Owner,Automatic,Quezon City,,
36,2020 Nissan NP300 Navara 2.5L 4x4 VL 7AT Detail,₱1.398 Million,2020,2020,Diesel,Pickup-trucks,"21,000 Km",First Owner,Automatic,Quezon City,5 seat,2488 CC
37,2020 Nissan NV350 Urvan Premium AT Detail,₱1.398 Million,2020,2020,Diesel,Van,"26,000 Km",First Owner,Automatic,Quezon City,,2488 CC
38,2016 Subaru BRZ 2.0L AT Detail,₱1.398 Million,,2016,Gasoline,Coupe,"28,000 Km",First Owner,Automatic,Mandaue City,,1998 CC
39,2020 Ford Everest 2.0L Turbo Titanium+ 4x2 AT Detail,₱1.398 Million,,2020,Diesel,Suv,,First Owner,Automatic,Cavite City,7 seat,1996 CC
40,2018 Ford Everest Titanium 3.2L 4x4 AT with Premium Package (Optional) Detail,₱1.398 Million,,2018,Diesel,Suv,,First Owner,Automatic,Paranaque,7 seat,3198 CC
41,2020 Toyota Hilux Conquest 2.4 4x2 A/T Detail,₱1.398 Million,2020,2020,Diesel,Pickup-trucks,"40,000 Km",Second Owner,Automatic,Bacoor,5 seat,2393 CC
42,2007 Mercedes-Benz S-Class S350 3.5L Detail,₱1.4 Million,,2007,Gasoline,Sedan,1 Km,First Owner,Automatic,"San Juan, Metro Manila",,
43,2020 Ford Ranger Raptor 2.0L Bi-Turbo 4WD Detail,₱1.4 Million,2020,2020,Diesel,Pickup-trucks,"35,000 Km",Second Owner,Automatic,Manila,5 seat,1996 CC
0,2016 Ford Explorer 3.5L 4x4 Limited+ Detail,₱1.42 Million,,2016,Gasoline,Suv,"40,000 Km",First Owner,Automatic,Las Piñas,7 seat,3497 CC
1,2020 Toyota Hiace Commuter Deluxe Detail,₱1.42 Million,,2020,Diesel,Van,"18,000 Km",First Owner,Manual,Las Piñas,15 seat,2755 CC
2,2019 Toyota Hilux Conquest 2.8 4x4 M/T Detail,₱1.428 Million,,2019,Diesel,Pickup-trucks,1 Km,First Owner,Manual,Quezon City,5 seat,2755 CC
3,2020 Nissan Terra 2.5 4x2 VE AT Detail,₱1.428 Million,2020,2020,Diesel,Suv,"17,000 Km",First Owner,Automatic,Paranaque,7 seat,2488 CC
4,2019 Toyota Fortuner 2.4 V Diesel 4x2 AT Detail,₱1.428 Million,,2019,Diesel,Suv,"49,000 Km",First Owner,Automatic,Pasig,7 seat,2393 CC
5,2014 Toyota FJ Cruiser 4.0L AT Detail,₱1.45 Million,2014,2014,Gasoline,Suv,"19,000 Km",First Owner,Automatic,Paranaque,,3998 CC
6,2020 Jeep Renegade Longitude Detail,₱1.45 Million,2020,2020,Gasoline,Suv,"11,000 Km",First Owner,Automatic,Valenzuela,5 seat,1398 CC
7,2019 Ford Ranger Raptor 2.0L Bi-Turbo Detail,₱1.45 Million,,2019,Diesel,Pickup-trucks,,First Owner,Automatic,Quezon City,5 seat,1996 CC
8,2018 Mazda CX-9 2.5L Turbo Black Edition Detail,₱1.45 Million,2019,2018,Gasoline,Suv,"74,000 Km",First Owner,Automatic,Quezon City,7 seat,2488 CC
9,2018 Hyundai Grand Starex 2.5 Gold Dsl Detail,₱1.458 Million,,2018,Diesel,Van,1 Km,First Owner,Automatic,Quezon City,10 seat,2497 CC
10,2020 Nissan Terra 2.5 4x2 VL AT Detail,₱1.468 Million,2020,2020,Diesel,Suv,"32,000 Km",First Owner,Automatic,Marikina City,7 seat,2488 CC
11,2020 Nissan Terra 2.5 4x2 VL AT Detail,₱1.468 Million,2020,2020,Diesel,Suv,"28,000 Km",First Owner,Automatic,Marikina City,7 seat,2488 CC
12,2020 Toyota Hiace Commuter Deluxe Detail,₱1.468 Million,2020,2020,Diesel,Van,"30,000 Km",First Owner,Manual,Marikina City,15 seat,2755 CC
13,2018 Toyota Hiace 3.0 GL Grandia AT Detail,₱1.468 Million,2018,2018,Diesel,Van,"69,000 Km",First Owner,Automatic,Marikina City,,
14,2017 Toyota Hiace 3.0 Super Grandia AT Detail,₱1.478 Million,2017,2017,Diesel,Van,"13,800 Km",First Owner,Automatic,Quezon City,11 seat,2982 CC
15,2015 Hyundai Grand Starex 2.5L CRDI AT PLATINUM Detail,₱1.488 Million,,2015,Diesel,Minivans,1 Km,First Owner,Automatic,Quezon City,12 seat,2497 CC
16,2013 Lexus ES 350 3.5 FWD Detail,₱1.488 Million,2013,2013,Gasoline,Sedan,"36,000 Km",Second Owner,Automatic,Quezon City,,
17,2022 Toyota Innova 2.8 G Diesel AT Detail,₱1.49 Million,,2022,Diesel,Mpv,"7,000 Km",First Owner,Automatic,Las Piñas,8 seat,2755 CC
18,2020 Toyota Fortuner 2.4 V Diesel 4x2 AT Detail,₱1.49 Million,,2020,Diesel,Suv,"54,000 Km",First Owner,Automatic,Quezon City,7 seat,2393 CC
19,2019 Nissan Terra 2.5L 4x4 VL AT Detail,₱1.49 Million,,2019,Diesel,Suv,,First Owner,Automatic,Quezon City,7 seat,2488 CC
20,2020 Toyota Fortuner 2.4 G Diesel 4x2 AT Detail,₱1.498 Million,2020,2020,Diesel,Suv,"28,000 Km",First Owner,Automatic,Quezon City,7 seat,2393 CC
21,2018 Toyota Hilux Conquest 2.8 4x4 A/T Detail,₱1.498 Million,,2018,Diesel,Pickup-trucks,"57,000 Km",First Owner,Automatic,Pasig,5 seat,2755 CC
22,2019 Ford Ranger 2.0L Bi-Turbo Wildtrak 4x4 AT Detail,₱1.498 Million,,2019,Diesel,Pickup-trucks,"20,000 Km",First Owner,Automatic,Paranaque,5 seat,1996 CC
23,2020 Nissan Terra 2.5 4x2 VL AT Detail,₱1.498 Million,,2020,Diesel,Suv,,First Owner,Automatic,Paranaque,7 seat,2488 CC
24,2019 Toyota Hilux Conquest 2.8 4x4 A/T Detail,₱1.498 Million,,2019,Diesel,Pickup-trucks,,First Owner,Automatic,Paranaque,5 seat,2755 CC
25,2017 Mercedes-Benz A-Class 180 (automatic) Detail,₱1.5 Million,2022,2017,Gasoline,Hatchback,"20,000 Km",First Owner,Automatic,Taguig,5 seat,1595 CC
26,2019 Nissan Terra 2.5 4x4 VL AT Detail,₱1.5 Million,2019,2019,Diesel,Suv,"17,000 Km",First Owner,Automatic,Pasig,7 seat,2488 CC
27,2023 Ford Ranger 2.0L Turbo Sport 4x4 AT Detail,₱1.5 Million,2023,2023,Diesel,Pickup-trucks,"15,000 Km",First Owner,Automatic,Baguio City,5 seat,1996 CC
28,2019 Ford Ranger Raptor 2.0L Bi-Turbo Detail,₱1.5 Million,,2019,Diesel,Pickup-trucks,"43,000 Km",First Owner,Automatic,Bacolod City,5 seat,1996 CC
29,2023 Chery Tiggo 7 Pro 1.5L Detail,₱1.5 Million,2023,2023,Gasoline,Suv,400 Km,First Owner,Cvt,Trece Martires City,5 seat,1498 CC
30,2015 MINI 5 Door Cooper S Detail,₱1.5 Million,2023,2015,Gasoline,Hatchback,"33,180 Km",First Owner,Automatic,Taguig,5 seat,1998 CC
31,2022 Subaru XV 2.0i-S EyeSight Detail,₱1.5 Million,2022,2022,Gasoline,Suv,"18,000 Km",First Owner,Cvt,Bacoor,5 seat,1995 CC
0,2019 Nissan Terra 2.5 4x4 VL AT Detail,₱1.508 Million,,2019,Diesel,Suv,,First Owner,Automatic,Paranaque,7 seat,2488 CC
1,2023 Ford Ranger 2.0L Turbo Wildtrak 4x2 AT Detail,₱1.518 Million,2023,2023,Diesel,Pickup-trucks,"8,000 Km",First Owner,Automatic,Quezon City,5 seat,1996 CC
2,2016 Toyota 86 2.0 AT Detail,₱1.525 Million,,2016,Gasoline,Coupe,"34,000 Km",First Owner,Automatic,Marilao,4 seat,1998 CC
3,2018 Toyota Hiace 3.0 Super Grandia AT Detail,₱1.528 Million,,2018,Diesel,Van,1 Km,First Owner,Automatic,Quezon City,11 seat,2982 CC
4,2015 Subaru WRX STI 2.5 MT Detail,₱1.55 Million,2016,2015,Gasoline,Sedan,"20,000 Km",Second Owner,Manual,Dumaguete city,5 seat,2457 CC
5,2018 Ford Explorer 3.5L 4x4 Limited+ Detail,₱1.55 Million,2023,2018,Gasoline,Suv,"41,856 Km",Second Owner,Automatic,Makati City,7 seat,3497 CC
6,2010 BMW X5 xDrive30d Detail,₱1.55 Million,2023,2010,Diesel,Suv,"60,000 Km",Second Owner,Automatic,Paranaque,5 seat,2993 CC
7,2018 Mazda CX-9 2.5 FWD Detail,₱1.55 Million,2019,2018,Gasoline,Suv,"15,000 Km",Third Owner,Automatic,Paranaque,,
8,2021 Toyota Fortuner 2.4 G Diesel 4x2 AT Detail,₱1.558 Million,,2021,Diesel,Suv,"14,000 Km",First Owner,Automatic,Pasig,7 seat,2393 CC
9,2018 Honda CR-V 2.0 S CVT Detail,₱1.56 Million,2023,2018,Gasoline,Suv,"15,000 Km",First Owner,Cvt,Taguig,5 seat,1997 CC
10,2020 Mitsubishi Montero Sport GT 2WD AT Detail,₱1.56 Million,,2020,Diesel,Suv,"30,000 Km",First Owner,Automatic,Las Piñas,7 seat,2442 CC
11,2022 Toyota Fortuner 2.4 G Diesel 4x2 AT Detail,₱1.598 Million,,2022,Diesel,Suv,"20,000 Km",First Owner,Automatic,Caloocan City,7 seat,2393 CC
12,2011 Toyota Sienna Luxury Detail,₱1.6 Million,2011,2011,Gasoline,Mpv,"55,000 Km",Third Owner,Automatic,Manila,7 seat,3498 CC
13,2019 Toyota Fortuner 2.4 G Diesel 4x2 MT Detail,₱1.6 Million,2019,2019,Diesel,Suv,"35,044 Km",First Owner,Manual,Masbate,7 seat,2393 CC
14,2019 Ford Ranger Raptor 2.0L Bi-Turbo 4WD Detail,₱1.6 Million,2023,2019,Diesel,Pickup-trucks,"20,000 Km",First Owner,Automatic,Makati City,5 seat,1996 CC
15,2023 Ford Everest 2.0L Turbo Limited 4x2 AT Detail,₱1.6 Million,2023,2023,Diesel,Suv,"8,000 Km",First Owner,Automatic,Antipolo,7 seat,1996 CC
16,2016 Honda Pilot 3.5L AT Detail,₱1.6 Million,2016,2016,Gasoline,Suv,"38,000 Km",First Owner,Automatic,Pasig,,
17,2014 Lexus ES 350 3.5 FWD Detail,₱1.6 Million,2014,2014,Gasoline,Sedan,"53,000 Km",First Owner,Automatic,Makati City,,
18,2015 Mitsubishi Pajero GLS 3.2 Di-D 4WD AT Detail,₱1.62 Million,,2015,Diesel,Suv,"60,000 Km",First Owner,Automatic,Las Piñas,7 seat,3198 CC
19,2016 Toyota Hiace LXV Super Grandia 3.0 LXV A/T Detail,₱1.63 Million,,2016,Diesel,Van,"20,000 Km",First Owner,Automatic,Paranaque,10 seat,2982 CC
20,2019 Ford Ranger Raptor 2.0L Bi-Turbo Detail,₱1.635 Million,,2019,Diesel,Pickup-trucks,,First Owner,Automatic,Cavite City,5 seat,1996 CC
21,2021 Ford Ranger Raptor 2.0L Bi-Turbo 4WD Detail,₱1.648 Million,,2021,Diesel,Pickup-trucks,,First Owner,Automatic,Quezon City,5 seat,1996 CC
22,2019 Hyundai Santa Fe 2.2 CRDi GLS 8A/T 2WD (Dsl) Detail,₱1.65 Million,2020,2019,Diesel,Suv,"15,000 Km",First Owner,Automatic,Pasig,7 seat,2199 CC
23,2018 Toyota Fortuner 2.8 V Diesel 4x4 AT Detail,₱1.65 Million,2023,2018,Diesel,Suv,"75,000 Km",First Owner,Automatic,Cainta,7 seat,2765 CC
24,2019 Toyota Fortuner 2.8 V Diesel 4x4 AT Detail,₱1.65 Million,,2019,Diesel,Suv,,First Owner,Automatic,Quezon City,7 seat,2765 CC
25,2016 Mazda MX-5 Soft Top Anniversary Edition Detail,₱1.65 Million,2023,2016,Gasoline,Convertibles,"19,000 Km",First Owner,Automatic,Valenzuela,2 seat,1998 CC
26,2020 Ford Ranger Raptor 2.0L AT Detail,₱1.65 Million,2021,2020,Diesel,Pickup-trucks,"16,000 Km",First Owner,Automatic,Cebu City,,
27,2019 Nissan Terra 2.5 4x4 VL AT Detail,₱1.68 Million,,2019,Diesel,Suv,1 Km,First Owner,Automatic,Quezon City,7 seat,2488 CC
28,2019 Hyundai Grand Starex GLS CRDIVGT (10s)- U(Swivel seats) AT Detail,₱1.68 Million,2019,2019,Diesel,Minivans,"37,000 Km",First Owner,Automatic,Cebu City,10 seat,2497 CC
29,2013 BMW X3 sDrive 20i Sports AT Detail,₱1.68 Million,2013,2013,Gasoline,Suv,"50,000 Km",Second Owner,Automatic,Pasig,5 seat,1997 CC
30,2018 Toyota Hiace 3.0 Super Grandia AT Detail,₱1.69 Million,,2018,Diesel,Van,,First Owner,Automatic,Quezon City,11 seat,2982 CC
31,2016 Lexus NX 200t Detail,₱1.695 Million,,2016,Gasoline,Suv,"58,000 Km",First Owner,Automatic,Quezon City,,2498 CC
32,2016 MINI Cooper 2.0L S AT Detail,₱1.698 Million,,2016,Gasoline,Hatchback,1 Km,First Owner,Automatic,Pasig,,
33,2010 Jaguar XF Prestige Detail,₱1.698 Million,2010,2010,Gasoline,Sedan,"20,000 Km",First Owner,Automatic,Valenzuela,5 seat,1999 CC
34,2021 Toyota Fortuner 2.4 V Diesel 4x2 AT Detail,₱1.698 Million,,2021,Diesel,Suv,"15,000 Km",First Owner,Automatic,Pasig,7 seat,2393 CC
35,2017 Mercedes-Benz GLA-Class 180 AT Detail,₱1.699 Million,,2017,Gasoline,Suv,"14,000 Km",First Owner,Automatic,Pasig,5 seat,1595 CC
36,2022 Ford Everest 2.0L Turbo Titanium Plus 4x2 AT Detail,₱1.7 Million,2022,2022,Diesel,Suv,"20,000 Km",First Owner,Automatic,Tacloban City,7 seat,1996 CC
37,2021 Ford Ranger Raptor 2.0L Bi-Turbo 4WD Detail,₱1.7 Million,2023,2021,Diesel,Pickup-trucks,"9,000 Km",First Owner,Automatic,Manila,5 seat,1996 CC
38,2018 Toyota Hiace 3.0 GL Grandia MT Detail,₱1.72 Million,2018,2018,Diesel,Van,158 Km,First Owner,Manual,Mandaue City,11 seat,2982 CC
39,2015 Toyota FJ Cruiser 4.0L V6 Detail,₱1.728 Million,2023,2015,Gasoline,Suv,"50,000 Km",First Owner,Automatic,Mandaluyong City,5 seat,3956 CC
40,2019 Ford Ranger Raptor 2.0L Bi-Turbo Detail,₱1.748 Million,2019,2019,Diesel,Pickup-trucks,"19,000 Km",First Owner,Automatic,Quezon City,5 seat,1996 CC
41,2013 Mercedes-Benz C-Class C250 Detail,₱1.75 Million,2013,2013,Gasoline,Sedan,"30,000 Km",First Owner,Automatic,Pasig,5 seat,1991 CC
42,2018 Mazda CX-9 2.5L Turbo AWD Exclusive Detail,₱1.75 Million,2022,2018,Gasoline,Suv,"22,000 Km",First Owner,Automatic,Makati City,7 seat,2488 CC
43,2021 Peugeot 3008 Active Detail,₱1.75 Million,2021,2021,Gasoline,Suv,"7,500 Km",First Owner,Automatic,Bacoor,5 seat,1598 CC
44,2019 Toyota GR86 2.4L AT Detail,₱1.75 Million,2023,2019,Gasoline,Coupe,"7,000 Km",Second Owner,Automatic,Mandaue City,4 seat,2398 CC
45,2018 Ford Explorer 2.3L Limited EcoBoost Detail,₱1.75 Million,2021,2018,Gasoline,Suv,"20,000 Km",First Owner,Automatic,Quezon City,7 seat,2296 CC
46,2020 Mitsubishi Montero Sport GT 2WD AT Detail,₱1.758 Million,,2020,Diesel,Suv,"40,000 Km",First Owner,Automatic,Paranaque,7 seat,2442 CC
47,2018 BMW 2 Series Gran Tourer 218i Detail,₱1.758 Million,,2018,Gasoline,Mpv,,First Owner,Automatic,Cavite City,5 seat,1499 CC
48,2019 Ford Ranger Raptor 2.0L Bi-Turbo Detail,₱1.778 Million,2019,2019,Diesel,Pickup-trucks,"14,000 Km",First Owner,Automatic,Quezon City,5 seat,1996 CC
49,2022 Toyota Corolla Cross GR-S Detail,₱1.78 Million,2022,2022,Gasoline,Crossover,"1,000 Km",First Owner,Cvt,Pasig,5 seat,1798 CC
50,2018 Nissan NV350 Urvan Premium AT Detail,₱1.78 Million,2019,2018,Diesel,Van,"17,900 Km",Second Owner,Automatic,Quezon City,,2488 CC
51,2015 Mercedes-Benz GLA-Class 200 AMG Line Detail,₱1.79 Million,2015,2015,Gasoline,Suv,"7,000 Km",First Owner,Automatic,Pasig,5 seat,1322 CC
52,2022 Ford Everest 2.0L Bi-Turbo Titanium Plus 4x4 AT Detail,₱1.795 Million,2022,2022,Diesel,Suv,"11,000 Km",First Owner,Automatic,Makati City,7 seat,1996 CC
53,2014 Mercedes-Benz E200 2.0 L AT Detail,₱1.798 Million,,2014,Gasoline,Luxury-vehicles,"16,000 Km",First Owner,Automatic,Quezon City,,
54,2012 Mercedes-Benz S-Class S 400 Blue Hybrid Detail,₱1.798 Million,,2012,Gasoline,Sedan,"64,000 Km",First Owner,Automatic,Quezon City,5 seat,3498 CC
55,2013 Jeep Grand Cherokee Limited Detail,₱1.798 Million,,2013,Diesel,Suv,1 Km,First Owner,Automatic,Pasig,5 seat,2998 CC
56,2017 MINI Clubman Cooper Detail,₱1.798 Million,,2017,Gasoline,Station-wagon,1 Km,First Owner,Automatic,Pasig,6 seat,1598 CC
57,2020 Hyundai Grand Starex 2.5L CRDi AT Gold Detail,₱1.798 Million,,2020,Diesel,Van,,First Owner,Automatic,Pasig,10 seat,2497 CC
58,2020 Toyota Hilux Conquest 2.8 4x4 A/T Detail,₱1.798 Million,2019,2020,Diesel,Pickup-trucks,"20,000 Km",First Owner,Automatic,Paranaque,5 seat,2755 CC
59,2019 Ford Ranger Raptor 2.0L Bi-Turbo Detail,₱1.798 Million,,2019,Diesel,Pickup-trucks,,First Owner,Automatic,Paranaque,5 seat,1996 CC
60,2002 GMC Yukon 5.3L Detail,₱1.8 Million,,2002,Gasoline,Suv,1 Km,First Owner,Automatic,"San Juan, Metro Manila",,
61,2003 Mercedes-Benz SL-Class 500 Blue Efficiency Detail,₱1.8 Million,,2003,Gasoline,Convertibles,1 Km,First Owner,Automatic,Pasay,2 seat,5461 CC
62,2014 BMW 3 Series 318d Detail,₱1.8 Million,2014,2014,Diesel,Sedan,"15,000 Km",First Owner,Automatic,Quezon City,5 seat,1995 CC
63,2014 Jeep Grand Cherokee Limited Detail,₱1.8 Million,2022,2014,Diesel,Suv,"55,000 Km",First Owner,Automatic,Marilao,5 seat,2998 CC
64,2016 Mazda MX-5 Club Edition 2.0L SkyActiv AT Detail,₱1.8 Million,2023,2016,Gasoline,Convertibles,"23,000 Km",Second Owner,Automatic,Taguig,2 seat,1998 CC
65,2019 Toyota Hiace 2.8L AT (Leather) Detail,₱1.8 Million,2023,2019,Diesel,Van,"70,000 Km",First Owner,Automatic,Quezon City,10 seat,2755 CC
66,2016 Toyota FJ Cruiser 4.0L V6 Detail,₱1.8 Million,2023,2016,Gasoline,Suv,"55,000 Km",Second Owner,Automatic,Makati City,5 seat,3956 CC
67,2016 BMW 5 Series Sedan 520d M Sport Detail,₱1.8 Million,2017,2016,Diesel,Sedan,"56,000 Km",Second Owner,Automatic,Manila,5 seat,1995 CC
68,2016 Ford Explorer 3.5L Sport EcoBoost Detail,₱1.8 Million,2016,2016,Gasoline,Suv,"17,313 Km",Second Owner,Automatic,Pasig,7 seat,3496 CC
69,2014 Ford Explorer 3.5L 4x4 Limited+ Detail,₱1.8 Million,2014,2014,Gasoline,Suv,"80,000 Km",Third Owner,Automatic,Carmona,7 seat,3497 CC
70,2018 Subaru WRX 2.0 MT Detail,₱1.815 Million,2018,2018,Gasoline,Sedan,"2,000 Km",First Owner,Manual,Cebu City,5 seat,1998 CC
71,2019 Honda Odyssey EX-V Navi Detail,₱1.83 Million,2019,2019,Gasoline,Mpv,"4,000 Km",First Owner,Cvt,Pasig,7 seat,2356 CC
72,2022 Ford Everest 2.0L Bi-Turbo Titanium Plus 4x4 AT Detail,₱1.83 Million,,2022,Diesel,Suv,"20,001 Km",First Owner,Automatic,Las Piñas,7 seat,1996 CC
73,2010 Toyota Sequoia 5.7L AT Detail,₱1.85 Million,,2010,Gasoline,Suv,"59,000 Km",First Owner,Automatic,"San Juan, Metro Manila",,
74,2021 Ford Ranger Raptor 2.0L Bi-Turbo Detail,₱1.85 Million,2021,2021,Diesel,Pickup-trucks,"14,000 Km",First Owner,Automatic,Mandaue City,5 seat,1996 CC
75,2019 Toyota Fortuner 2.8 V Diesel 4x4 AT Detail,₱1.85 Million,2019,2019,Diesel,Suv,"8,000 Km",First Owner,Automatic,Quezon City,7 seat,2765 CC
76,2023 Mazda CX-5 2.5L AWD TURBO Detail,₱1.85 Million,2023,2023,Gasoline,Crossover,"4,800 Km",First Owner,Automatic,Muntinlupa,5 seat,2488 CC
77,2010 Nissan 370Z 3.7L Detail,₱1.88 Million,2010,2010,Gasoline,Coupe,"6,000 Km",First Owner,Automatic,Quezon City,,
