Make,Model,Price,Vehicle,Fuel,Transmission,Mileage,Engine,Body
Ford,Everest,905000,2018,Diesel,Automatic,"40,000",2.2,SUV
Ford,Everest,1020000,2018,Diesel,Automatic,"40,000",2.2,SUV
Honda,Jazz,660000,2017,Gasoline,Automatic,"50,000",1.5,Hatchback
Mazda,CX-5,610000,2015,Gasoline,Automatic,"70,000",2,Crossover
Mitsubishi,Xpander,730000,2019,Gasoline,Automatic,"30,000",1.5,SUV
Toyota,Wigo,458000,2020,Gasoline,Automatic,"37,000",1,Hatchback
Toyota,Avanza,638000,2019,Gasoline,Automatic,"37,000",1.3,MPV
Ford,Territory,918000,2022,Gasoline,Automatic,"23,000",1.5,Crossover
Ford,EcoSport,648000,2020,Gasoline,Automatic,"15,000",,SUV
Nissan,Terra,1068000,2019,Diesel,Automatic,"83,000",2.5,SUV
Toyota,Avanza,370000,2014,Gasoline,Manual,"80,000",1.3,MPV
Mitsubishi,Mirage,370000,2016,Gasoline,Automatic,"60,000",1.2,Hatchback
Jeep,Renegade,990000,2020,Gasoline,Automatic,"15,000",1.4,Crossover
Ford,EcoSport,340000,2016,Gasoline,Automatic,"41,500",1.5,Crossover
Ford,Ranger,905000,2020,Diesel,Automatic,"40,000",2,Pickup
Mitsubishi,Mirage,335000,2014,Gasoline,Automatic,"60,000",1.2,Sedan
Mitsubishi,Montero,680000,2014,Diesel,Automatic,"70,000",2.5,SUV
Nissan,Juke,515000,2017,Gasoline,Automatic,"40,000",1.6,Crossover
Mitsubishi,Mirage,598000,2022,Gasoline,Automatic,"4,000",1.2,Sedan
Chevrolet,Trailblazer,560000,2014,Diesel,Automatic,"70,000",2.8,SUV
Toyota,Fortuner,1140000,2018,Diesel,Automatic,"60,000",2.4,SUV
Nissan,X-Trail,840000,2018,Gasoline,CVT,"60,000",2.0,Crossover
Mitsubishi,Xpander,770000,2019,Gasoline,Automatic,"30,000",1.5,MPV
Toyota,Innova,740000,2017,Diesel,Automatic,"50,000",2.8,MPV
Isuzu,mu-X,870000,2017,Diesel,Automatic,"50,000",3,SUV
Kia,Sportage,510000,2015,Gasoline,Automatic,"60,000",,Crossover
Suzuki,Ertiga,690000,2020,Gasoline,Automatic,"20,000",1.5,MPV
Ford,Everest,1190000,2019,Diesel,Automatic,"80,000",2,SUV
Honda,Jazz,700000,2018,Gasoline,CVT,"36,000",1.5,Hatchback
Mitsubishi,Montero,1010000,2018,Diesel,Automatic,"70,000",2.4,SUV
Honda,Mobilio,560000,2016,Gasoline,Automatic,"50,000",1.5,MPV
Suzuki,Jimny,770000,2018,Gasoline,Automatic,"40,000",,SUV
Honda,City,530000,2016,Gasoline,Automatic,"60,000",1.5,Sedan
Ford,Everest,755000,2016,Diesel,Automatic,"50,000",2.2,SUV
Suzuki,Jimny,1195000,2022,Gasoline,Automatic,"60,000",1.5,SUV
Toyota,Fortuner,1230000,2019,Diesel,Automatic,"30,000",2.4,SUV
