key,make_encoded,model_encoded,transmission_encoded,body_type_encoded,fuel_type_Diesel,fuel_type_Gasoline,kms_driven,engine_size,resale_price,srp,no_sc_mmnl
Ford Ranger,0.104204753,0.035344302,0.606337599,0.074954296,1,0,43000,2,1500000,1249000,2
Ford Ranger,0.104204753,0.035344302,0.606337599,0.074954296,1,0,8000,2,1518000,1249000,2
Ford Ranger,0.104204753,0.035344302,0.606337599,0.074954296,1,0,20000,2,1600000,1249000,2
Ford Ranger,0.104204753,0.035344302,0.606337599,0.074954296,1,0,16000,2,1650000,1249000,2
Ford Ranger,0.104204753,0.035344302,0.606337599,0.074954296,1,0,9000,2,1700000,1249000,2
Ford Ranger,0.104204753,0.035344302,0.606337599,0.074954296,1,0,19000,2,1748000,1249000,2
Ford Ranger,0.104204753,0.035344302,0.606337599,0.074954296,1,0,14000,2,1778000,1249000,2
Ford Ranger,0.104204753,0.035344302,0.606337599,0.074954296,1,0,14000,2,1850000,1249000,2
Ford Ranger,0.104204753,0.035344302,0.606337599,0.074954296,1,0,21000,2,1950000,1249000,2
Ford Territory,0.104204753,0.008531383,0.606337599,0.056063376,0,1,40000,1.5,970000,1335000,2
Ford Territory,0.104204753,0.008531383,0.606337599,0.371115174,0,1,29000,1.5,888000,1335000,2
Ford Territory,0.104204753,0.008531383,0.606337599,0.056063376,0,1,40000,1.5,930000,1335000,2
Ford Territory,0.104204753,0.008531383,0.606337599,0.056063376,0,1,23000,1.5,918000,1335000,2
Ford Territory,0.104204753,0.008531383,0.15234613,0.056063376,0,1,45000,1.49,840000,1335000,2
Ford Territory,0.104204753,0.008531383,0.606337599,0.371115174,0,1,59000,1.5,850000,1335000,2
Ford Territory,0.104204753,0.008531383,0.15234613,0.056063376,0,1,45000,1.49,840000,1335000,2
Ford Territory,0.104204753,0.008531383,0.606337599,0.371115174,0,1,59000,1.5,850000,1335000,2
Ford Territory,0.104204753,0.008531383,0.15234613,0.056063376,0,1,33000,1.49,858000,1335000,2
Ford Territory,0.104204753,0.008531383,0.606337599,0.371115174,0,1,20000,1.5,1000000,1335000,2
Ford Territory,0.104204753,0.008531383,0.15234613,0.056063376,0,1,20000,1.49,1070000,1335000,2
Ford Territory,0.104204753,0.008531383,0.15234613,0.056063376,0,1,32000,1.49,1080000,1335000,2
Ford Territory,0.104204753,0.008531383,0.606337599,0.371115174,0,1,24000,1.5,1090000,1335000,2
Ford Territory,0.104204753,0.008531383,0.15234613,0.056063376,0,1,16000,1.49,1120000,1335000,2
Ford Mustang,0.104204753,0.006093845,0.606337599,0.012797075,0,1,18000,5,2150000,3499000,2
Ford Mustang,0.104204753,0.006093845,0.606337599,0.012797075,0,1,12000,5,2348000,3499000,2
Ford Mustang,0.104204753,0.006093845,0.606337599,0.002437538,0,1,18000,5,2430000,3499000,2
Ford Mustang,0.104204753,0.006093845,0.606337599,0.012797075,0,1,70000,5,2430000,3499000,2
Ford Mustang,0.104204753,0.006093845,0.606337599,0.012797075,0,1,8000,5,2430000,3499000,2
Ford Mustang,0.104204753,0.006093845,0.606337599,0.012797075,0,1,25000,5,2550000,3499000,2
Ford Mustang,0.104204753,0.006093845,0.606337599,0.012797075,0,1,5000,5.21,2700000,3499000,2
Ford Mustang,0.104204753,0.006093845,0.606337599,0.012797075,0,1,7000,2.3,2758000,3499000,2
Ford Mustang,0.104204753,0.006093845,0.606337599,0.012797075,0,1,18000,5,2895000,3499000,2
Ford Mustang,0.104204753,0.006093845,0.606337599,0.012797075,0,1,630,5.21,6500000,3499000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,40000,3.5,1190000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,60000,3.5,1190000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,44591,3.5,1250000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,90000,2,700000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,100000,2,700000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,65000,2,700000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,100000,2,700000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,65000,2,700000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,65000,2,768000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,26000,2,890000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,40000,3.5,950000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,71000,2.3,980000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,18000,2.3,1095000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,1,3.5,1238000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,26000,2.3,1345000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,53000,2.3,1358000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,40000,3.5,1420000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,41856,3.5,1550000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,20000,2.3,1750000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,17313,3.5,1800000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,80000,3.5,1800000,3498000,2
Ford Explorer,0.104204753,0.013406459,0.606337599,0.371115174,0,1,25000,3.5,2000000,3498000,2
Ford Bronco,0.104204753,0.000609385,0.606337599,0.371115174,0,1,100,2,6800000,4998000,2
Honda Civic,0.09567337,0.021328458,0.606337599,0.209628275,0,1,50000,1.8,760000,1583000,4
Honda Civic,0.09567337,0.021328458,0.15234613,0.209628275,0,1,40000,1.8,905000,1583000,4
Honda Civic,0.09567337,0.021328458,0.606337599,0.209628275,0,1,80000,1.8,390000,1583000,4
Honda Civic,0.09567337,0.021328458,0.606337599,0.209628275,0,1,30000,1.8,740000,1583000,4
