key,make,model,transmission,body_type,fuel_type_Diesel,fuel_type_Gasoline,kms_driven,engine_size,resale_price,srp,no_sc_mmnl
Ford Ranger,1180181.2247765185,1110143.160769725,753252.8193717279,1131717.701128078,1,0,50000.0,2.2,749000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,95000.0,2.0,750000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,85000.0,2.0,780000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,753252.8193717279,1131717.701128078,1,0,30000.0,2.0,788000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,753252.8193717279,1131717.701128078,1,0,30000.0,2.0,838000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,45000.0,2.2,850000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,50000.0,2.2,875000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,100000.0,2.0,875000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,753252.8193717279,1131717.701128078,1,0,9000.0,2.2,880000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,78000.0,2.2,885000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,14000.0,2.2,890000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,753252.8193717279,1131717.701128078,1,0,27000.0,2.0,895000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,753252.8193717279,1131717.701128078,1,0,18415.0,2.2,895000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,33000.0,2.2,898000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,753252.8193717279,1131717.701128078,1,0,60000.0,2.2,900000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,45000.0,3.2,900000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,45000.0,2.2,930000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,18000.0,2.2,958000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,19000.0,3.2,980000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,24000.0,2.2,998000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,10000.0,2.2,998000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,12200.0,2.0,1000000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,29628.0,2.0,1030000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,753252.8193717279,1131717.701128078,1,0,12000.0,2.2,1048000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,39000.0,2.2,1058000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,44000.0,2.0,1059000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,18400.0,2.0,1068000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,28000.0,2.2,1088000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,753252.8193717279,1131717.701128078,1,0,45000.0,2.0,1100000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,4170.0,2.0,1150000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,27120.0,2.0,1158000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,27000.0,2.0,1198000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,2000.0,2.2,1218000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,60000.0,2.0,1250000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,35000.0,2.0,1400000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,20000.0,2.0,1498000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,15000.0,2.0,1500000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,43000.0,2.0,1500000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,8000.0,2.0,1518000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,20000.0,2.0,1600000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,16000.0,2.0,1650000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,9000.0,2.0,1700000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,19000.0,2.0,1748000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,14000.0,2.0,1778000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,14000.0,2.0,1850000.0,1249000.0,2
Ford Ranger,1180181.2247765185,1110143.160769725,1102810.8291457286,1131717.701128078,1,0,21000.0,2.0,1950000.0,1249000.0,2
Ford Territory,1180181.2247765185,954624.4707042887,1102810.8291457286,825412.2457536869,0,1,40000.0,1.5,970000.0,1335000.0,2
Ford Territory,1180181.2247765185,954624.4707042887,1102810.8291457286,1086439.880131363,0,1,29000.0,1.5,888000.0,1335000.0,2
Ford Territory,1180181.2247765185,954624.4707042887,1102810.8291457286,825412.2457536869,0,1,40000.0,1.5,930000.0,1335000.0,2
